series_id,year,period,value,month,date,series_label,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id,incidentYear,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
LAUMT063108000000004,2014,M01,535288.0,1,2014-01-01,Number of Unemployed Persons,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M01,5947789.0,1,2014-01-01,Number of Employed Persons,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M01,8.3,1,2014-01-01,Unemployment Rate (%),FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M01,6483077.0,1,2014-01-01,Total Labor Force,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M02,8.2,2,2014-02-01,Unemployment Rate (%),FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M02,5994441.0,2,2014-02-01,Number of Employed Persons,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M02,533308.0,2,2014-02-01,Number of Unemployed Persons,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M02,6527749.0,2,2014-02-01,Total Labor Force,FM-5051-CA,5051.0,CA,FM,2014-01-16,2014.0,Fire,COLBY FIRE,False,False,True,False,2014-01-16,2014-01-22,False,6.0,37.0,99037.0,Los Angeles (County),14005.0,2014011601.0,9.0,W,2024-08-27T18:22:14.800Z,d08181311a017f47391027441590e3347e010e61,061a30bc-921e-49fd-86ca-d310228e213f,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M03,524656.0,3,2014-03-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000003,2014,M03,8.0,3,2014-03-01,Unemployment Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
